ID_FALLA;FALLA_ID;FALLA;DESCRIPCION_FALLA;LOCALIZACION_FALLA;TIPIFICACION_FALLA;FALLA_REAL;IMPUTABILIDAD;INTERFAZ;MAL_ESCALADO_TERRENO;GRUPO_FALLA;FECHA_INICIO;FECHA_FIN;VERTICAL;NIVEL_2_VERTICAL;NIVEL_3_VERTICAL
102;B1037;1037;REUBICACION SU CON REORIENTACION  DE ANTENA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
103;B1038;1038;REUBICACION SU CON REUBICACION  DE ANTENA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
104;B1040;1040;CONFIG. INTERNET Y CAMBIO DE SU;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
105;B1042;1042;CAMBIO DE SU Y REUBICACION DE ANTENA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
106;B1043;1043;CAMBIO DE SU Y DE ANTENA DE INTERNA A EXTERNA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
107;B1049;1049;REPOSICION DE ANTENA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
108;B1050;1050;CLIENTE NO CONT. ENVIO CARTA;;;Sin Falla;UNE;B;SI;OTRO;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
109;B1052;1052;REUBICACION DE ANTENA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
110;B1053;1053;PROGRAMACION LSA;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
111;B1061;1061;CONFIGURACION IP  - XDSL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.780;NULL;Plataforma TigoUne;Plataforma TI;Servicio Desaprovisionado
112;B1062;1062;CONFIGURACION EQUIPO CLIENTE - XDSL;Equipos;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.373;NULL;Cliente;Equipos Cliente;Software De Usuario
113;B1063;1063;CONFIGURACION DSLAM  - XDSL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;SI;Reconfiguración Equipo/Puerto;2017-06-18 14:42:38.067;NULL;Plataforma TigoUne;Plataforma TI;Servicio Desaprovisionado
114;B1064;1064;CAMBIO MICROFILTRO - XDSL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.583;NULL;Premisas;Red Interna;Conectores
115;B1065;1065;CONFIGURACION PVC  - XDSL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;SI;Reconfiguración Equipo/Puerto;2017-06-18 14:42:38.287;NULL;Plataforma TigoUne;Plataforma TI;Servicio Desaprovisionado
116;B1066;1066;CABLE RED LAN EN MAL ESTADO  -XDSL;Sin Descripcion;Sin Descripcion;Con Falla;CLIENTE;B;NULL;NULL;2017-06-18 14:42:38.710;NULL;Equipo;Cables Accesorios;Cable Ethernet
117;B1068;1068;CAMBIO MODULO RECTIFICADOR -xDSL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
118;B1069;1069;CONFIGURACION EN PASSPORT (EMTELCO) xDSL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
119;B1070;1070;REPONCHAR PUENTES EN DLC - xDSL;Sin Descripcion;Sin Descripcion;Con Falla;UNE;B;NULL;NULL;2017-06-18 14:42:38.470;NULL;Premisas;Red Externa Cobre;Armario
120;B1071;1071;DESCONEXIÓN CLIENTE;Sin Descripcion;Sin Descripcion;Con Falla;CLIENTE;B;NULL;NULL;2016-05-12 12:12:25.203;NULL;NULL;NULL;NULL
